@relation 'cmo2-weka.filters.unsupervised.attribute.Remove-R1,5-8'

@attribute hammerforce numeric
@attribute sensor1 numeric
@attribute sensor2 numeric
@attribute class {1,3,4,5,6,7}

@data
0.343919,-0.266228,0.056823,1
0.351569,-0.197967,0.346465,1
0.366919,0.041059,0.222255,1
0.351569,0.246066,-0.150103,1
0.351569,0.177805,-0.150103,1
0.351569,0.314327,0.098045,1
0.382319,0.109544,0.304971,1
0.382319,0.177805,0.056823,1
0.405319,0.041059,-0.10888,1
0.382319,0.314327,0.180761,1
0.343919,0.177805,-0.025893,1
0.351569,0.211824,0.222255,1
0.328569,0.314327,0.056823,1
0.343919,0.041059,-0.191596,1
0.336219,0.280085,-0.232819,1
0.366919,-0.095463,-0.191596,1
0.359269,0.246066,-0.274312,1
0.359269,0.109544,-0.191596,1
0.343919,0.075302,-0.025893,1
0.374619,0.143563,-0.439744,1
0.336219,0.075302,0.056823,1
0.366919,0.177805,0.098045,1
0.382319,0.041059,0.015329,1
0.343919,-0.061221,0.056823,1
0.366919,-0.163724,0.387687,1
0.343919,0.041059,-0.274312,1
0.351569,-0.231985,-0.274312,1
0.351569,0.00704,-0.232819,1
0.366919,-0.129706,-0.191596,1
0.366919,0.00704,-0.150103,1
0.366919,-0.061221,0.056823,1
0.351569,0.177805,-0.10888,1
0.351569,0.177805,0.139539,1
0.359269,0.041059,-0.067387,1
0.366919,0.109544,0.387687,1
0.351569,0.280085,-0.025893,1
0.328569,0.211824,-0.274312,1
0.343919,0.177805,-0.357028,1
0.343919,0.519334,0.015329,1
0.366919,0.416831,0.139539,1
0.351569,0.041059,-0.191596,1
0.351569,-0.061221,-0.067387,1
0.374619,-0.061221,-0.067387,1
0.343919,-0.30047,-0.025893,1
0.374619,-0.095463,-0.10888,1
0.374619,0.246066,-0.10888,1
0.382319,0.177805,-0.150103,1
0.366919,0.075302,-0.067387,1
0.366919,0.041059,-0.150103,1
0.343919,0.211824,0.056823,1
0.366919,-0.197967,-0.10888,1
0.382319,-0.231985,-0.067387,1
0.374619,0.109544,-0.191596,1
0.359269,-0.095463,-0.067387,1
0.351569,0.075302,0.387687,1
0.351569,0.041059,0.015329,1
0.336219,0.041059,0.056823,1
0.366919,0.075302,0.139539,1
0.382319,0.109544,-0.10888,1
0.382319,0.246066,0.056823,1
0.366919,-0.231985,-0.025893,1
0.366919,-0.231985,0.304971,1
0.351569,-0.095463,0.139539,1
0.343919,0.075302,0.139539,1
0.366919,0.041059,0.056823,1
0.397669,0.109544,-0.10888,1
0.382319,0.109544,-0.025893,1
0.366919,-0.027202,-0.191596,1
0.359269,0.109544,-0.150103,1
0.366919,0.211824,-0.191596,1
0.359269,0.109544,0.098045,1
0.359269,0.177805,0.056823,1
0.343919,0.075302,-0.067387,1
0.366919,-0.027202,-0.274312,1
0.366919,-0.027202,-0.10888,1
0.359269,0.00704,-0.025893,1
0.343919,0.075302,-0.025893,1
0.374619,-0.30047,-0.481238,1
0.359269,-0.129706,0.139539,1
0.397669,-0.095463,-0.10888,1
0.374619,-0.027202,-0.025893,1
0.382319,0.109544,0.222255,1
0.359269,-0.129706,0.387687,1
0.366919,-0.061221,0.346465,1
0.343919,-0.231985,-0.025893,1
0.351569,-0.197967,0.222255,1
0.328569,0.00704,0.098045,1
0.397669,-0.129706,0.056823,1
0.405319,0.041059,-0.274312,1
0.366919,-0.197967,-0.274312,1
0.351569,-0.163724,0.056823,1
0.366919,0.041059,-0.067387,1
0.359269,0.211824,-0.10888,1
0.351569,-0.197967,0.056823,1
0.374619,0.075302,0.139539,1
0.374619,0.041059,0.015329,1
0.351569,-0.061221,-0.025893,1
0.420719,-0.163724,-0.232819,1
0.374619,0.177805,0.346465,1
0.351569,0.041059,0.098045,1
0.374619,0.00704,-0.439744,1
0.359269,0.041059,-0.10888,1
0.366919,-0.061221,0.056823,1
0.382319,-0.163724,-0.232819,1
0.366919,0.041059,-0.232819,1
0.366919,-0.197967,-0.191596,1
0.351569,-0.027202,0.056823,1
0.343919,0.041059,0.056823,1
0.343919,-0.027202,-0.150103,1
0.351569,0.109544,-0.357028,1
0.359269,-0.061221,-0.025893,1
0.366919,0.314327,-0.191596,1
0.366919,0.314327,-0.398522,1
0.374619,0.00704,-0.481238,1
0.366919,0.109544,-0.398522,1
0.382319,-0.129706,-0.067387,1
0.336219,0.211824,-0.315806,1
0.351569,0.075302,0.222255,1
0.359269,-0.061221,-0.025893,1
0.336219,-0.266228,0.098045,1
0.374619,0.041059,0.056823,1
0.343919,0.314327,0.098045,1
0.351569,0.109544,0.222255,1
0.336219,0.246066,-0.232819,1
0.366919,-0.061221,-0.025893,1
0.351569,-0.095463,-0.191596,1
0.397669,-0.095463,-0.025893,1
0.359269,-0.095463,-0.067387,1
0.351569,-0.163724,0.304971,1
0.351569,0.00704,-0.10888,1
0.366919,0.109544,-0.025893,1
0.343919,0.177805,0.098045,1
0.336219,0.00704,-0.025893,1
0.336219,0.109544,0.139539,1
0.351569,0.00704,0.222255,1
0.351569,0.143563,-0.067387,1
0.374619,0.00704,0.015329,1
0.366919,0.177805,-0.067387,1
0.328569,0.177805,0.222255,1
0.336219,-0.061221,0.139539,1
0.343919,0.143563,-0.10888,1
0.351569,0.519334,0.056823,1
0.366919,0.314327,0.056823,1
0.336219,0.382588,0.139539,1
0.336219,0.177805,-0.025893,1
0.359269,-0.027202,0.139539,1
0.328569,-0.061221,0.098045,1
0.336219,-0.061221,-0.150103,1
0.351569,0.211824,-0.150103,1
0.320869,-0.061221,-0.10888,1
0.343919,-0.471011,-0.191596,1
0.328569,-0.163724,-0.315806,1
0.328569,-0.095463,-0.025893,1
0.351569,-0.061221,0.056823,1
0.336219,-0.095463,0.222255,1
0.359269,0.109544,0.139539,1
0.351569,0.280085,0.304971,1
0.359269,0.075302,0.222255,1
0.366919,-0.027202,-0.025893,1
0.343919,0.34857,-0.067387,1
0.343919,0.109544,0.098045,1
0.343919,-0.266228,0.056823,1
0.336219,-0.061221,0.222255,1
0.336219,-0.061221,0.222255,1
0.343919,-0.027202,0.139539,1
0.328569,0.00704,0.098045,1
0.359269,-0.027202,0.056823,1
0.343919,0.109544,-0.191596,1
