@relation mnl1ccf
@attribute V1 numeric
@attribute V2 numeric
@attribute V3 numeric
@attribute V4 numeric
@attribute V5 numeric
@attribute V6 numeric
@attribute V7 numeric
@attribute V8 numeric
@attribute V9 numeric
@attribute V10 numeric
@attribute V11 numeric
@attribute V12 numeric
@attribute V13 numeric
@attribute V14 numeric
@attribute V15 numeric
@attribute V16 numeric
@attribute V17 numeric
@attribute V18 numeric
@attribute V19 numeric
@attribute V20 numeric
@attribute V21 numeric
@attribute V22 numeric
@attribute V23 numeric
@attribute V24 numeric
@attribute V25 numeric
@attribute V26 numeric
@attribute V27 numeric
@attribute V28 numeric
@attribute V29 numeric
@attribute V30 numeric
@attribute V31 numeric
@attribute V32 numeric
@attribute V33 numeric
@attribute V34 numeric
@attribute V35 numeric
@attribute V36 numeric
@attribute V37 numeric
@attribute V38 numeric
@attribute V39 numeric
@attribute V40 numeric
@attribute V41 numeric
@attribute V42 numeric
@attribute V43 numeric
@attribute V44 numeric
@attribute V45 numeric
@attribute V46 numeric
@attribute V47 numeric
@attribute V48 numeric
@attribute V49 numeric
@attribute V50 numeric
@attribute V51 numeric
@attribute V52 numeric
@attribute V53 numeric
@attribute V54 numeric
@attribute V55 numeric
@attribute V56 numeric
@attribute V57 numeric
@attribute V58 numeric
@attribute V59 numeric
@attribute V60 numeric
@attribute V61 numeric
@attribute V62 numeric
@attribute V63 numeric
@attribute V64 numeric
@attribute V65 numeric
@attribute V66 numeric
@attribute V67 numeric
@attribute V68 numeric
@attribute V69 numeric
@attribute V70 numeric
@attribute V71 numeric
@attribute V72 numeric
@attribute V73 numeric
@attribute V74 numeric
@attribute V75 numeric
@attribute V76 numeric
@attribute V77 numeric
@attribute V78 numeric
@attribute V79 numeric
@attribute V80 numeric
@attribute V81 numeric
@attribute V82 numeric
@attribute V83 numeric
@attribute V84 numeric
@attribute V85 numeric
@attribute V86 numeric
@attribute V87 numeric
@attribute V88 numeric
@attribute V89 numeric
@attribute V90 numeric
@attribute V91 numeric
@attribute V92 numeric
@attribute V93 numeric
@attribute V94 numeric
@attribute V95 numeric
@attribute V96 numeric
@attribute V97 numeric
@attribute V98 numeric
@attribute V99 numeric
@attribute V100 numeric
@attribute V101 numeric
@attribute V102 numeric
@attribute V103 numeric
@attribute V104 numeric
@attribute V105 numeric
@attribute V106 numeric
@attribute V107 numeric
@attribute V108 numeric
@attribute V109 numeric
@attribute V110 numeric
@attribute V111 numeric
@attribute V112 numeric
@attribute V113 numeric
@attribute V114 numeric
@attribute V115 numeric
@attribute V116 numeric
@attribute V117 numeric
@attribute V118 numeric
@attribute V119 numeric
@attribute V120 numeric
@attribute V121 numeric
@attribute V122 numeric
@attribute V123 numeric
@attribute V124 numeric
@attribute V125 numeric
@attribute V126 numeric
@attribute V127 numeric
@attribute V128 numeric
@attribute V129 numeric
@attribute V130 numeric
@attribute V131 numeric
@attribute V132 numeric
@attribute V133 numeric
@attribute V134 numeric
@attribute V135 numeric
@attribute V136 numeric
@attribute V137 numeric
@attribute V138 numeric
@attribute V139 numeric
@attribute V140 numeric
@attribute V141 numeric
@attribute V142 numeric
@attribute V143 numeric
@attribute V144 numeric
@attribute V145 numeric
@attribute V146 numeric
@attribute V147 numeric
@attribute V148 numeric
@attribute V149 numeric
@attribute V150 numeric
@attribute V151 numeric
@attribute V152 numeric
@attribute V153 numeric
@attribute V154 numeric
@attribute V155 numeric
@attribute V156 numeric
@attribute V157 numeric
@attribute V158 numeric
@attribute V159 numeric
@attribute V160 numeric
@attribute V161 numeric
@attribute V162 numeric
@attribute V163 numeric
@attribute V164 numeric
@attribute V165 numeric
@attribute V166 numeric
@attribute V167 numeric
@attribute V168 numeric
@attribute V169 numeric
@attribute V170 numeric
@attribute V171 numeric
@attribute V172 numeric
@attribute V173 numeric
@attribute V174 numeric
@attribute V175 numeric
@attribute V176 numeric
@attribute V177 numeric
@attribute V178 numeric
@attribute V179 numeric
@attribute V180 numeric
@attribute V181 numeric
@attribute V182 numeric
@attribute V183 numeric
@attribute V184 numeric
@attribute V185 numeric
@attribute V186 numeric
@attribute V187 numeric
@attribute V188 numeric
@attribute V189 numeric
@attribute V190 numeric
@attribute V191 numeric
@attribute V192 numeric
@attribute V193 numeric
@attribute V194 numeric
@attribute V195 numeric
@attribute V196 numeric
@attribute V197 numeric
@attribute V198 numeric
@attribute V199 numeric
@data
-0.270749575543646,0.343752853704682,0.182040665197405,0.137762653748391,-0.127145685148166,-0.180077267790055,0.184281884615513,0.181285118742946,-0.0524629299803691,-0.200233420261195,-0.28650890151105,-0.26884649848314,-0.196221835712041,-0.0885253343790786,0.031192957937138,0.0879170176869265,0.136342711143938,0.200907946968269,0.215313626137439,0.215488100993769,0.215488100993769,0.201649178226983,0.176414540559227,0.142067870299918,0.142067870299918,0.0995162753134205,0.0995162753134205,0.0504906560569875,0.0504906560569875,-0.00132294762415171,-0.00132294762415171,-0.00132294762415171,-0.0525670378986695,-0.0525670378986695,-0.0525670378986695,-0.102065017234766,-0.102065017234766,-0.102065017234766,-0.149056174338108,-0.149056174338108,-0.149056174338108,-0.149056174338108,-0.149056174338108,-0.191019056452875,-0.191019056452875,-0.191019056452875,-0.191019056452875,-0.191019056452875,-0.224943922428083,-0.224943922428083,-0.224943922428083,-0.224943922428083,-0.224943922428083,-0.224943922428083,-0.224943922428083,-0.249758895687841,-0.249758895687841,-0.249758895687841,-0.249758895687841,-0.249758895687841,-0.249758895687841,-0.249758895687841,-0.249758895687841,-0.249758895687841,-0.249758895687841,-0.265637767547609,-0.265637767547609,-0.265637767547609,-0.265637767547609,-0.265637767547609,-0.265637767547609,-0.265637767547609,-0.265637767547609,-0.265637767547609,-0.265637767547609,-0.265637767547609,-0.265637767547609,-0.265637767547609,-0.271599707863503,-0.271599707863503,-0.271599707863503,-0.271599707863503,-0.271599707863503,-0.271599707863503,-0.271599707863503,-0.271599707863503,-0.271599707863503,-0.271599707863503,-0.271599707863503,-0.271599707863503,-0.271599707863503,-0.271599707863503,-0.271599707863503,-0.271599707863503,-0.271599707863503,-0.271599707863503,-0.271599707863503,-0.271599707863503,-0.265864441134973,-0.265864441134973,-0.265864441134973,-0.265864441134973,-0.265864441134973,-0.265864441134973,-0.265864441134973,-0.265864441134973,-0.265864441134973,-0.265864441134973,-0.265864441134973,-0.265864441134973,-0.265864441134973,-0.265864441134973,-0.265864441134973,-0.265864441134973,-0.265864441134973,-0.265864441134973,-0.265864441134973,-0.265864441134973,-0.265864441134973,-0.265864441134973,-0.265864441134973,-0.265864441134973,-0.265864441134973,-0.265864441134973,-0.265864441134973,-0.265864441134973,-0.265864441134973,-0.265864441134973,-0.265864441134973,-0.265864441134973,-0.265864441134973,-0.24841569377057,-0.24841569377057,-0.24841569377057,-0.24841569377057,-0.24841569377057,-0.24841569377057,-0.24841569377057,-0.24841569377057,-0.24841569377057,-0.24841569377057,-0.24841569377057,-0.24841569377057,-0.24841569377057,-0.24841569377057,-0.24841569377057,-0.24841569377057,-0.24841569377057,-0.24841569377057,-0.24841569377057,-0.24841569377057,-0.24841569377057,-0.24841569377057,-0.24841569377057,-0.24841569377057,-0.24841569377057,-0.24841569377057,-0.24841569377057,-0.24841569377057,-0.24841569377057,-0.24841569377057,-0.24841569377057,-0.24841569377057,-0.24841569377057,-0.24841569377057,-0.24841569377057,-0.24841569377057,-0.24841569377057,-0.24841569377057,-0.24841569377057,-0.24841569377057,-0.24841569377057,-0.24841569377057,-0.24841569377057,-0.24841569377057,-0.24841569377057,-0.24841569377057,-0.24841569377057,-0.24841569377057,-0.24841569377057,-0.24841569377057,-0.24841569377057,-0.24841569377057,-0.24841569377057,-0.24841569377057,-0.24841569377057,-0.24841569377057,-0.24841569377057,-0.24841569377057,-0.24841569377057,-0.24841569377057,-0.24841569377057,-0.24841569377057,-0.24841569377057,-0.24841569377057,-0.24841569377057,-0.24841569377057,-0.24841569377057,-0.221280897219123
-0.0609587909617078,0.218326463827285,0.105692106918465,-0.0142474801329588,-0.120772271167499,-0.237659485790923,0.00160010810873078,0.0527261224146963,-0.0674011367455128,-0.166809965660204,-0.241677568163928,-0.260472267604087,-0.229241379733899,-0.18168800257344,-0.11233448155824,-0.0770625145320673,-0.0456320005518101,0.0137002980377158,0.0372672424636158,0.0513424911076238,0.0513424911076238,0.0577083107427834,0.0595424168083771,0.0555116301845895,0.0555116301845895,0.0421213869125746,0.0421213869125746,0.0202282254591115,0.0202282254591115,-0.00534158424393518,-0.00534158424393518,-0.00534158424393518,-0.0323128720325499,-0.0323128720325499,-0.0323128720325499,-0.0626356205000864,-0.0626356205000864,-0.0626356205000864,-0.0966724252334543,-0.0966724252334543,-0.0966724252334543,-0.0966724252334543,-0.0966724252334543,-0.129977862101579,-0.129977862101579,-0.129977862101579,-0.129977862101579,-0.129977862101579,-0.158205272183518,-0.158205272183518,-0.158205272183518,-0.158205272183518,-0.158205272183518,-0.158205272183518,-0.158205272183518,-0.181816501180195,-0.181816501180195,-0.181816501180195,-0.181816501180195,-0.181816501180195,-0.181816501180195,-0.181816501180195,-0.181816501180195,-0.181816501180195,-0.181816501180195,-0.20278560222855,-0.20278560222855,-0.20278560222855,-0.20278560222855,-0.20278560222855,-0.20278560222855,-0.20278560222855,-0.20278560222855,-0.20278560222855,-0.20278560222855,-0.20278560222855,-0.20278560222855,-0.20278560222855,-0.219146014470857,-0.219146014470857,-0.219146014470857,-0.219146014470857,-0.219146014470857,-0.219146014470857,-0.219146014470857,-0.219146014470857,-0.219146014470857,-0.219146014470857,-0.219146014470857,-0.219146014470857,-0.219146014470857,-0.219146014470857,-0.219146014470857,-0.219146014470857,-0.219146014470857,-0.219146014470857,-0.219146014470857,-0.219146014470857,-0.226739841486119,-0.226739841486119,-0.226739841486119,-0.226739841486119,-0.226739841486119,-0.226739841486119,-0.226739841486119,-0.226739841486119,-0.226739841486119,-0.226739841486119,-0.226739841486119,-0.226739841486119,-0.226739841486119,-0.226739841486119,-0.226739841486119,-0.226739841486119,-0.226739841486119,-0.226739841486119,-0.226739841486119,-0.226739841486119,-0.226739841486119,-0.226739841486119,-0.226739841486119,-0.226739841486119,-0.226739841486119,-0.226739841486119,-0.226739841486119,-0.226739841486119,-0.226739841486119,-0.226739841486119,-0.226739841486119,-0.226739841486119,-0.226739841486119,-0.225141762913375,-0.225141762913375,-0.225141762913375,-0.225141762913375,-0.225141762913375,-0.225141762913375,-0.225141762913375,-0.225141762913375,-0.225141762913375,-0.225141762913375,-0.225141762913375,-0.225141762913375,-0.225141762913375,-0.225141762913375,-0.225141762913375,-0.225141762913375,-0.225141762913375,-0.225141762913375,-0.225141762913375,-0.225141762913375,-0.225141762913375,-0.225141762913375,-0.225141762913375,-0.225141762913375,-0.225141762913375,-0.225141762913375,-0.225141762913375,-0.225141762913375,-0.225141762913375,-0.225141762913375,-0.225141762913375,-0.225141762913375,-0.225141762913375,-0.225141762913375,-0.225141762913375,-0.225141762913375,-0.225141762913375,-0.225141762913375,-0.225141762913375,-0.225141762913375,-0.225141762913375,-0.225141762913375,-0.225141762913375,-0.225141762913375,-0.225141762913375,-0.225141762913375,-0.225141762913375,-0.225141762913375,-0.225141762913375,-0.225141762913375,-0.225141762913375,-0.225141762913375,-0.225141762913375,-0.225141762913375,-0.225141762913375,-0.225141762913375,-0.225141762913375,-0.225141762913375,-0.225141762913375,-0.225141762913375,-0.225141762913375,-0.225141762913375,-0.225141762913375,-0.225141762913375,-0.225141762913375,-0.225141762913375,-0.225141762913375,-0.217716476806089
-0.16818269128009,0.251086093239565,0.211386301868167,-0.0561152106809642,0.0146006407962831,-0.287006963062396,-0.0221089569143768,0.126477270239821,0.0708364014921811,-0.0428297364789329,-0.171630311488105,-0.258311292142804,-0.272397585446922,-0.246687278488797,-0.188509099471177,-0.14889574849428,-0.10681325392094,-0.0229124527230765,0.0176899756477273,0.0536458954149795,0.0536458954149795,0.082027401613795,0.102971873961378,0.117520669540743,0.117520669540743,0.124401798283911,0.124401798283911,0.121298547755658,0.121298547755658,0.108489086951505,0.108489086951505,0.108489086951505,0.0886128560355706,0.0886128560355706,0.0886128560355706,0.0629707755959074,0.0629707755959074,0.0629707755959074,0.0307139039902478,0.0307139039902478,0.0307139039902478,0.0307139039902478,0.0307139039902478,-0.00771504609060492,-0.00771504609060492,-0.00771504609060492,-0.00771504609060492,-0.00771504609060492,-0.0488449887690621,-0.0488449887690621,-0.0488449887690621,-0.0488449887690621,-0.0488449887690621,-0.0488449887690621,-0.0488449887690621,-0.0891745333533065,-0.0891745333533065,-0.0891745333533065,-0.0891745333533065,-0.0891745333533065,-0.0891745333533065,-0.0891745333533065,-0.0891745333533065,-0.0891745333533065,-0.0891745333533065,-0.127871038594093,-0.127871038594093,-0.127871038594093,-0.127871038594093,-0.127871038594093,-0.127871038594093,-0.127871038594093,-0.127871038594093,-0.127871038594093,-0.127871038594093,-0.127871038594093,-0.127871038594093,-0.127871038594093,-0.164767832648587,-0.164767832648587,-0.164767832648587,-0.164767832648587,-0.164767832648587,-0.164767832648587,-0.164767832648587,-0.164767832648587,-0.164767832648587,-0.164767832648587,-0.164767832648587,-0.164767832648587,-0.164767832648587,-0.164767832648587,-0.164767832648587,-0.164767832648587,-0.164767832648587,-0.164767832648587,-0.164767832648587,-0.164767832648587,-0.197356385981608,-0.197356385981608,-0.197356385981608,-0.197356385981608,-0.197356385981608,-0.197356385981608,-0.197356385981608,-0.197356385981608,-0.197356385981608,-0.197356385981608,-0.197356385981608,-0.197356385981608,-0.197356385981608,-0.197356385981608,-0.197356385981608,-0.197356385981608,-0.197356385981608,-0.197356385981608,-0.197356385981608,-0.197356385981608,-0.197356385981608,-0.197356385981608,-0.197356385981608,-0.197356385981608,-0.197356385981608,-0.197356385981608,-0.197356385981608,-0.197356385981608,-0.197356385981608,-0.197356385981608,-0.197356385981608,-0.197356385981608,-0.197356385981608,-0.222058734888081,-0.222058734888081,-0.222058734888081,-0.222058734888081,-0.222058734888081,-0.222058734888081,-0.222058734888081,-0.222058734888081,-0.222058734888081,-0.222058734888081,-0.222058734888081,-0.222058734888081,-0.222058734888081,-0.222058734888081,-0.222058734888081,-0.222058734888081,-0.222058734888081,-0.222058734888081,-0.222058734888081,-0.222058734888081,-0.222058734888081,-0.222058734888081,-0.222058734888081,-0.222058734888081,-0.222058734888081,-0.222058734888081,-0.222058734888081,-0.222058734888081,-0.222058734888081,-0.222058734888081,-0.222058734888081,-0.222058734888081,-0.222058734888081,-0.222058734888081,-0.222058734888081,-0.222058734888081,-0.222058734888081,-0.222058734888081,-0.222058734888081,-0.222058734888081,-0.222058734888081,-0.222058734888081,-0.222058734888081,-0.222058734888081,-0.222058734888081,-0.222058734888081,-0.222058734888081,-0.222058734888081,-0.222058734888081,-0.222058734888081,-0.222058734888081,-0.222058734888081,-0.222058734888081,-0.222058734888081,-0.222058734888081,-0.222058734888081,-0.222058734888081,-0.222058734888081,-0.222058734888081,-0.222058734888081,-0.222058734888081,-0.222058734888081,-0.222058734888081,-0.222058734888081,-0.222058734888081,-0.222058734888081,-0.222058734888081,-0.237709360882248
-0.0693247106240314,-0.0512198677999413,-0.0256690182867681,-0.0823856780071562,-0.044089430766388,0.072867860640874,-0.0565961156801506,-0.139964539748603,-0.132310633302408,-0.0847416114498369,-0.0217595985460305,0.0302865715989175,0.0530155457523186,0.0590032376190804,0.0519538517347567,0.0419498694635895,0.0285856807801655,-0.00291654568508529,-0.0212977020188255,-0.0413131503312911,-0.0413131503312911,-0.0611919861448125,-0.0794730414175231,-0.0963335051034792,-0.0963335051034792,-0.112311093359399,-0.112311093359399,-0.126399078763517,-0.126399078763517,-0.136678207331697,-0.136678207331697,-0.136678207331697,-0.142690582267318,-0.142690582267318,-0.142690582267318,-0.145691154248693,-0.145691154248693,-0.145691154248693,-0.146191019217809,-0.146191019217809,-0.146191019217809,-0.146191019217809,-0.146191019217809,-0.142841481127111,-0.142841481127111,-0.142841481127111,-0.142841481127111,-0.142841481127111,-0.13467031746451,-0.13467031746451,-0.13467031746451,-0.13467031746451,-0.13467031746451,-0.13467031746451,-0.13467031746451,-0.123061973611876,-0.123061973611876,-0.123061973611876,-0.123061973611876,-0.123061973611876,-0.123061973611876,-0.123061973611876,-0.123061973611876,-0.123061973611876,-0.123061973611876,-0.110013451599805,-0.110013451599805,-0.110013451599805,-0.110013451599805,-0.110013451599805,-0.110013451599805,-0.110013451599805,-0.110013451599805,-0.110013451599805,-0.110013451599805,-0.110013451599805,-0.110013451599805,-0.110013451599805,-0.0954599428747198,-0.0954599428747198,-0.0954599428747198,-0.0954599428747198,-0.0954599428747198,-0.0954599428747198,-0.0954599428747198,-0.0954599428747198,-0.0954599428747198,-0.0954599428747198,-0.0954599428747198,-0.0954599428747198,-0.0954599428747198,-0.0954599428747198,-0.0954599428747198,-0.0954599428747198,-0.0954599428747198,-0.0954599428747198,-0.0954599428747198,-0.0954599428747198,-0.0782091532917145,-0.0782091532917145,-0.0782091532917145,-0.0782091532917145,-0.0782091532917145,-0.0782091532917145,-0.0782091532917145,-0.0782091532917145,-0.0782091532917145,-0.0782091532917145,-0.0782091532917145,-0.0782091532917145,-0.0782091532917145,-0.0782091532917145,-0.0782091532917145,-0.0782091532917145,-0.0782091532917145,-0.0782091532917145,-0.0782091532917145,-0.0782091532917145,-0.0782091532917145,-0.0782091532917145,-0.0782091532917145,-0.0782091532917145,-0.0782091532917145,-0.0782091532917145,-0.0782091532917145,-0.0782091532917145,-0.0782091532917145,-0.0782091532917145,-0.0782091532917145,-0.0782091532917145,-0.0782091532917145,-0.0590222416184088,-0.0590222416184088,-0.0590222416184088,-0.0590222416184088,-0.0590222416184088,-0.0590222416184088,-0.0590222416184088,-0.0590222416184088,-0.0590222416184088,-0.0590222416184088,-0.0590222416184088,-0.0590222416184088,-0.0590222416184088,-0.0590222416184088,-0.0590222416184088,-0.0590222416184088,-0.0590222416184088,-0.0590222416184088,-0.0590222416184088,-0.0590222416184088,-0.0590222416184088,-0.0590222416184088,-0.0590222416184088,-0.0590222416184088,-0.0590222416184088,-0.0590222416184088,-0.0590222416184088,-0.0590222416184088,-0.0590222416184088,-0.0590222416184088,-0.0590222416184088,-0.0590222416184088,-0.0590222416184088,-0.0590222416184088,-0.0590222416184088,-0.0590222416184088,-0.0590222416184088,-0.0590222416184088,-0.0590222416184088,-0.0590222416184088,-0.0590222416184088,-0.0590222416184088,-0.0590222416184088,-0.0590222416184088,-0.0590222416184088,-0.0590222416184088,-0.0590222416184088,-0.0590222416184088,-0.0590222416184088,-0.0590222416184088,-0.0590222416184088,-0.0590222416184088,-0.0590222416184088,-0.0590222416184088,-0.0590222416184088,-0.0590222416184088,-0.0590222416184088,-0.0590222416184088,-0.0590222416184088,-0.0590222416184088,-0.0590222416184088,-0.0590222416184088,-0.0590222416184088,-0.0590222416184088,-0.0590222416184088,-0.0590222416184088,-0.0590222416184088,-0.0405737301682745
-0.000941916926788302,-0.0237225407345976,-0.0150760277842159,0.0120159391040275,-0.0428743737341776,-0.055671561114009,-0.0303570068869809,-0.0414330474745422,-0.050351214638705,-0.0467585313396243,-0.0520632892891368,-0.0607735690314467,-0.0616780568287882,-0.0685828082991833,-0.0675602147942489,-0.0645910889976326,-0.0658580273427911,-0.0635376030774581,-0.0573826178150668,-0.0547605171615302,-0.0547605171615302,-0.0552385483812354,-0.0533012512624844,-0.0481955925763147,-0.0481955925763147,-0.0452654680603747,-0.0452654680603747,-0.046776137076047,-0.046776137076047,-0.048027653021346,-0.048027653021346,-0.048027653021346,-0.0452397129484632,-0.0452397129484632,-0.0452397129484632,-0.0416358435388512,-0.0416358435388512,-0.0416358435388512,-0.0417749258467544,-0.0417749258467544,-0.0417749258467544,-0.0417749258467544,-0.0417749258467544,-0.0440264286657349,-0.0440264286657349,-0.0440264286657349,-0.0440264286657349,-0.0440264286657349,-0.0437512034100079,-0.0437512034100079,-0.0437512034100079,-0.0437512034100079,-0.0437512034100079,-0.0437512034100079,-0.0437512034100079,-0.0413239820230439,-0.0413239820230439,-0.0413239820230439,-0.0413239820230439,-0.0413239820230439,-0.0413239820230439,-0.0413239820230439,-0.0413239820230439,-0.0413239820230439,-0.0413239820230439,-0.0413778735890799,-0.0413778735890799,-0.0413778735890799,-0.0413778735890799,-0.0413778735890799,-0.0413778735890799,-0.0413778735890799,-0.0413778735890799,-0.0413778735890799,-0.0413778735890799,-0.0413778735890799,-0.0413778735890799,-0.0413778735890799,-0.0448853505901595,-0.0448853505901595,-0.0448853505901595,-0.0448853505901595,-0.0448853505901595,-0.0448853505901595,-0.0448853505901595,-0.0448853505901595,-0.0448853505901595,-0.0448853505901595,-0.0448853505901595,-0.0448853505901595,-0.0448853505901595,-0.0448853505901595,-0.0448853505901595,-0.0448853505901595,-0.0448853505901595,-0.0448853505901595,-0.0448853505901595,-0.0448853505901595,-0.0477229974896258,-0.0477229974896258,-0.0477229974896258,-0.0477229974896258,-0.0477229974896258,-0.0477229974896258,-0.0477229974896258,-0.0477229974896258,-0.0477229974896258,-0.0477229974896258,-0.0477229974896258,-0.0477229974896258,-0.0477229974896258,-0.0477229974896258,-0.0477229974896258,-0.0477229974896258,-0.0477229974896258,-0.0477229974896258,-0.0477229974896258,-0.0477229974896258,-0.0477229974896258,-0.0477229974896258,-0.0477229974896258,-0.0477229974896258,-0.0477229974896258,-0.0477229974896258,-0.0477229974896258,-0.0477229974896258,-0.0477229974896258,-0.0477229974896258,-0.0477229974896258,-0.0477229974896258,-0.0477229974896258,-0.047800925460278,-0.047800925460278,-0.047800925460278,-0.047800925460278,-0.047800925460278,-0.047800925460278,-0.047800925460278,-0.047800925460278,-0.047800925460278,-0.047800925460278,-0.047800925460278,-0.047800925460278,-0.047800925460278,-0.047800925460278,-0.047800925460278,-0.047800925460278,-0.047800925460278,-0.047800925460278,-0.047800925460278,-0.047800925460278,-0.047800925460278,-0.047800925460278,-0.047800925460278,-0.047800925460278,-0.047800925460278,-0.047800925460278,-0.047800925460278,-0.047800925460278,-0.047800925460278,-0.047800925460278,-0.047800925460278,-0.047800925460278,-0.047800925460278,-0.047800925460278,-0.047800925460278,-0.047800925460278,-0.047800925460278,-0.047800925460278,-0.047800925460278,-0.047800925460278,-0.047800925460278,-0.047800925460278,-0.047800925460278,-0.047800925460278,-0.047800925460278,-0.047800925460278,-0.047800925460278,-0.047800925460278,-0.047800925460278,-0.047800925460278,-0.047800925460278,-0.047800925460278,-0.047800925460278,-0.047800925460278,-0.047800925460278,-0.047800925460278,-0.047800925460278,-0.047800925460278,-0.047800925460278,-0.047800925460278,-0.047800925460278,-0.047800925460278,-0.047800925460278,-0.047800925460278,-0.047800925460278,-0.047800925460278,-0.047800925460278,-0.0485546504713566
0.0011314198292799,0.0242241114416461,0.000610744738733803,0.00167488211851567,-0.0125514605737863,-0.0143749016451578,-0.0243498066671898,-0.0345064109888204,-0.0265327249427597,-0.0230629696325272,-0.033163453747971,-0.0488417180219055,-0.0505526896350246,-0.0539837204204918,-0.049160344461856,-0.0455659461430948,-0.044507870016442,-0.0401041440181493,-0.0370746310991188,-0.0375934367419956,-0.0375934367419956,-0.0405230300631482,-0.0422530453998125,-0.0424820889492575,-0.0424820889492575,-0.0442480001952798,-0.0442480001952798,-0.0484182054680366,-0.0484182054680366,-0.0519961933365656,-0.0519961933365656,-0.0519961933365656,-0.0528334360405039,-0.0528334360405039,-0.0528334360405039,-0.0527038162179448,-0.0527038162179448,-0.0527038162179448,-0.0539417848567284,-0.0539417848567284,-0.0539417848567284,-0.0539417848567284,-0.0539417848567284,-0.055428542507527,-0.055428542507527,-0.055428542507527,-0.055428542507527,-0.055428542507527,-0.0545237642762264,-0.0545237642762264,-0.0545237642762264,-0.0545237642762264,-0.0545237642762264,-0.0545237642762264,-0.0545237642762264,-0.0515215429390681,-0.0515215429390681,-0.0515215429390681,-0.0515215429390681,-0.0515215429390681,-0.0515215429390681,-0.0515215429390681,-0.0515215429390681,-0.0515215429390681,-0.0515215429390681,-0.0492691823215064,-0.0492691823215064,-0.0492691823215064,-0.0492691823215064,-0.0492691823215064,-0.0492691823215064,-0.0492691823215064,-0.0492691823215064,-0.0492691823215064,-0.0492691823215064,-0.0492691823215064,-0.0492691823215064,-0.0492691823215064,-0.048921566840578,-0.048921566840578,-0.048921566840578,-0.048921566840578,-0.048921566840578,-0.048921566840578,-0.048921566840578,-0.048921566840578,-0.048921566840578,-0.048921566840578,-0.048921566840578,-0.048921566840578,-0.048921566840578,-0.048921566840578,-0.048921566840578,-0.048921566840578,-0.048921566840578,-0.048921566840578,-0.048921566840578,-0.048921566840578,-0.0486564188344663,-0.0486564188344663,-0.0486564188344663,-0.0486564188344663,-0.0486564188344663,-0.0486564188344663,-0.0486564188344663,-0.0486564188344663,-0.0486564188344663,-0.0486564188344663,-0.0486564188344663,-0.0486564188344663,-0.0486564188344663,-0.0486564188344663,-0.0486564188344663,-0.0486564188344663,-0.0486564188344663,-0.0486564188344663,-0.0486564188344663,-0.0486564188344663,-0.0486564188344663,-0.0486564188344663,-0.0486564188344663,-0.0486564188344663,-0.0486564188344663,-0.0486564188344663,-0.0486564188344663,-0.0486564188344663,-0.0486564188344663,-0.0486564188344663,-0.0486564188344663,-0.0486564188344663,-0.0486564188344663,-0.0470046001555771,-0.0470046001555771,-0.0470046001555771,-0.0470046001555771,-0.0470046001555771,-0.0470046001555771,-0.0470046001555771,-0.0470046001555771,-0.0470046001555771,-0.0470046001555771,-0.0470046001555771,-0.0470046001555771,-0.0470046001555771,-0.0470046001555771,-0.0470046001555771,-0.0470046001555771,-0.0470046001555771,-0.0470046001555771,-0.0470046001555771,-0.0470046001555771,-0.0470046001555771,-0.0470046001555771,-0.0470046001555771,-0.0470046001555771,-0.0470046001555771,-0.0470046001555771,-0.0470046001555771,-0.0470046001555771,-0.0470046001555771,-0.0470046001555771,-0.0470046001555771,-0.0470046001555771,-0.0470046001555771,-0.0470046001555771,-0.0470046001555771,-0.0470046001555771,-0.0470046001555771,-0.0470046001555771,-0.0470046001555771,-0.0470046001555771,-0.0470046001555771,-0.0470046001555771,-0.0470046001555771,-0.0470046001555771,-0.0470046001555771,-0.0470046001555771,-0.0470046001555771,-0.0470046001555771,-0.0470046001555771,-0.0470046001555771,-0.0470046001555771,-0.0470046001555771,-0.0470046001555771,-0.0470046001555771,-0.0470046001555771,-0.0470046001555771,-0.0470046001555771,-0.0470046001555771,-0.0470046001555771,-0.0470046001555771,-0.0470046001555771,-0.0470046001555771,-0.0470046001555771,-0.0470046001555771,-0.0470046001555771,-0.0470046001555771,-0.0470046001555771,-0.0453728930168774
