@relation cmo1-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R4-7

@attribute hammerforce numeric
@attribute sensor1 numeric
@attribute sensor2 numeric
@attribute class {1,3,4,5,6,7}

@data
-0.014728,-0.041297,0.022991,1
-0.009755,-0.041297,0.003064,1
-0.012233,0.014417,0.072843,1
-0.009755,-0.004154,-0.02686,1
-0.012233,-0.035093,0.052915,1
-0.009755,0.014417,0.09277,1
-0.009755,0.008213,-0.016864,1
-0.009755,-0.010358,0.052915,1
-0.00726,-0.010358,-0.036791,1
-0.00726,-0.053664,0.042919,1
-0.012233,-0.04746,0.032988,1
-0.014728,0.008213,0.062846,1
-0.012233,0.002009,-0.016864,1
-0.017222,-0.041297,0.022991,1
-0.00726,0.014417,0.012995,1
-0.009755,0.051518,-0.076712,1
-0.009755,-0.041297,0.003064,1
-0.00726,0.039151,0.072843,1
-0.014728,0.07009,-0.046788,1
-0.017222,0.008213,0.012995,1
-0.014728,0.002009,-0.056784,1
-0.012233,0.026784,-0.016864,1
-0.017222,0.026784,0.032988,1
-0.00726,0.02058,0.032988,1
-0.00726,0.026784,0.032988,1
-0.014728,0.051518,0.032988,1
-0.017222,0.02058,-0.036791,1
-0.014728,0.039151,0.003064,1
-0.009755,-0.010358,-0.036791,1
-0.00726,-0.010358,0.012995,1
-0.00726,0.032947,0.072843,1
-0.012233,0.014417,0.032988,1
-0.00726,-0.004154,0.003064,1
-0.009755,-0.035093,0.022991,1
-0.019701,-0.010358,-0.016864,1
-0.017222,0.002009,-0.016864,1
-0.014728,0.026784,-0.066715,1
-0.009755,-0.084602,-0.02686,1
-0.012233,-0.035093,-0.086643,1
-0.019701,-0.035093,-0.106636,1
-0.014728,0.008213,-0.066715,1
-0.00726,0.002009,-0.096639,1
-0.012233,-0.022725,-0.076712,1
-0.024674,-0.028889,-0.006933,1
-0.014728,0.014417,-0.156487,1
-0.014728,0.032947,-0.036791,1
-0.009755,0.02058,-0.006933,1
-0.012233,0.014417,0.062846,1
-0.017222,0.008213,-0.016864,1
-0.012233,0.014417,-0.076712,1
-0.014728,0.014417,-0.016864,1
-0.022195,0.002009,-0.036791,1
-0.017222,0.045355,-0.036791,1
-0.017222,0.008213,-0.076712,1
-0.009755,0.008213,-0.036791,1
-0.017222,0.008213,0.003064,1
-0.017222,-0.066031,0.003064,1
-0.014728,-0.016522,-0.046788,1
-0.017222,0.002009,-0.02686,1
-0.009755,0.002009,-0.016864,1
-0.012233,0.02058,-0.006933,1
-0.017222,0.002009,-0.016864,1
-0.012233,0.063886,-0.126563,1
-0.017222,0.045355,-0.006933,1
-0.017222,0.039151,0.042919,1
-0.012233,0.008213,-0.036791,1
-0.027169,0.014417,-0.006933,1
-0.014728,-0.004154,-0.046788,1
-0.009755,-0.041297,0.022991,1
-0.017222,-0.022725,0.003064,1
-0.012233,-0.053664,-0.046788,1
-0.017222,-0.078398,-0.016864,1
-0.014728,0.002009,-0.036791,1
-0.019701,-0.010358,0.022991,1
-0.024674,-0.028889,0.003064,1
-0.009755,-0.010358,-0.116567,1
-0.017222,0.002009,0.032988,1
-0.014728,0.008213,-0.046788,1
-0.017222,-0.035093,-0.056784,1
-0.014728,-0.010358,-0.056784,1
-0.019701,-0.022725,0.032988,1
-0.009755,-0.035093,0.032988,1
-0.022195,-0.059827,0.072843,1
-0.017222,-0.028889,0.032988,1
-0.014728,0.002009,0.042919,1
-0.009755,0.014417,-0.016864,1
-0.012233,-0.035093,0.062846,1
-0.017222,-0.04746,-0.016864,1
-0.012233,0.014417,-0.076712,1
-0.019701,0.002009,0.022991,1
-0.019701,0.002009,-0.016864,1
-0.017222,-0.004154,0.052915,1
-0.017222,-0.010358,0.003064,1
-0.012233,-0.004154,0.012995,1
-0.022195,0.026784,-0.036791,1
-0.019701,0.008213,-0.02686,1
-0.022195,-0.004154,-0.046788,1
-0.017222,0.002009,0.022991,1
-0.014728,0.026784,0.003064,1
-0.017222,0.045355,0.022991,1
-0.014728,-0.028889,0.052915,1
-0.017222,0.026784,-0.006933,1
-0.012233,0.002009,0.022991,1
-0.014728,0.014417,-0.016864,1
-0.014728,-0.016522,-0.016864,1
-0.012233,-0.010358,0.022991,1
-0.019701,0.002009,-0.006933,1
-0.014728,-0.004154,0.032988,1
-0.012233,-0.022725,0.032988,1
-0.012233,0.002009,0.003064,1
-0.017222,-0.022725,-0.056784,1
-0.014728,-0.028889,0.042919,1
-0.019701,-0.010358,-0.036791,1
-0.014728,-0.016522,-0.076712,1
-0.012233,-0.016522,0.072843,1
-0.012233,0.014417,0.062846,1
-0.017222,0.008213,0.062846,1
-0.014728,0.039151,-0.016864,1
-0.014728,0.002009,0.052915,1
-0.017222,0.045355,0.012995,1
-0.017222,-0.035093,0.042919,1
-0.014728,0.014417,0.032988,1
-0.017222,-0.004154,0.022991,1
-0.017222,-0.004154,0.022991,1
-0.017222,-0.022725,0.042919,1
-0.017222,-0.035093,-0.02686,1
-0.012233,-0.004154,0.003064,1
-0.017222,0.002009,0.042919,1
