@relation mnl2 
@attribute hammerforce numeric
@attribute sensor1 numeric
@attribute sensor2 numeric
@attribute class {'1','3','4','5','6','7'}
@data
0.122386,-0.039866,-0.034521,1
0.095285,-0.033804,-0.002398,3
0.24659,0.019256,-0.00606,4
0.209392,0.004228,-0.006631,5
0.151128,0.018287,-0.033678,6
0.136915,-0.019857,0.033674,7
0.122386,-0.013795,0.01363,1
0.075503,0.000326,0.01644,3
0.24659,0.008694,-0.015531,4
0.209392,0.006248,0.007089,5
0.147781,-0.001043,0.001952,6
0.134461,-0.010668,0.092966,7
0.099513,-0.00944,-0.034521,1
0.095285,-0.025939,0.01644,3
0.254104,0.008694,-0.013155,4
0.202258,0.004228,-0.002713,5
0.151128,0.007247,0.022302,6
0.139353,0.005394,0.092966,7
0.130028,0.016603,0.01363,1
0.071536,0.00296,0.008362,3
0.265388,0.008694,-0.013155,4
0.202258,-0.022148,-0.008597,5
0.151128,0.018287,-0.018432,6
0.139353,0.016869,0.092966,7
0.122386,0.007922,-0.010465,1
0.07947,-0.004923,0.000283,3
0.261618,0.003413,-0.013155,4
0.204625,-0.012005,-0.014467,5
0.151128,-0.001043,0.007023,6
0.134461,0.003093,0.152258,7
0.137619,0.029638,-0.022493,1
0.091318,-0.018056,-0.005096,3
0.254104,-0.007167,-0.022642,4
0.209392,-0.003895,-0.004678,5
0.141044,0.001709,-0.008223,6
0.12957,0.003093,0.21142,7
0.137619,0.003567,-0.028487,1
0.075503,0.013459,-0.007795,3
0.257874,0.008694,-0.003684,4
0.202258,0.00016,-0.002713,5
0.154496,0.007247,-0.013328,6
0.141807,0.005394,0.231227,7
0.122386,0.003567,0.031653,1
0.087377,0.005576,0.002982,3
0.257874,0.006045,-0.017906,4
0.204625,-0.003895,-0.004678,5
0.147781,0.021057,-0.028607,6
0.139353,0.00768,0.21142,7
0.107154,-0.005114,0.01363,1
0.071536,0.013459,-0.002398,3
0.257874,0.019256,0.005786,4
0.204625,-0.001861,0.001205,5
0.141044,-0.012083,-0.023503,6
0.136915,0.003093,-0.005811,7
0.137619,-0.005114,-0.064611,1
0.083411,0.005576,0.0245,3
0.250335,0.008694,0.005786,4
0.202258,-0.012005,0.005124,5
0.151128,0.001709,-0.023503,6
0.139353,-0.003795,-0.005811,7
0.130028,0.007922,-0.010465,1
0.083411,-0.010173,-0.013174,3
0.250335,0.016624,-0.001309,4
0.209392,-0.012005,0.009055,5
0.144413,0.004478,0.001952,6
0.139353,0.005394,0.033674,7
0.137619,0.016603,-0.004431,1
0.083411,-0.010173,0.008362,3
0.24659,0.013975,-0.003684,4
0.207009,0.00016,-0.004678,5
0.151128,0.029328,-0.018432,6
0.139353,-0.001494,0.171935,7
0.114745,0.033964,-0.052583,1
0.075503,-0.00229,0.005663,3
0.257874,0.011326,0.003427,4
0.209392,-0.001861,-0.010549,5
0.151128,-0.012083,-0.028607,6
0.139353,-0.006081,0.092966,7
0.122386,0.055681,-0.046549,1
0.075503,-0.018056,0.000283,3
0.24659,0.000764,0.003427,4
0.202258,0.004228,-0.010549,5
0.144413,-0.012083,0.027406,6
0.139353,0.003093,0.092966,7
0.114745,0.016603,0.019625,1
0.075503,-0.007557,0.002982,3
0.257874,-0.017729,0.012897,4
0.202258,0.014371,-0.000747,5
0.151128,-0.001043,0.001952,6
0.144245,0.003093,0.033674,7
0.114745,0.025283,-0.016459,1
0.087377,-0.018056,0.008362,3
0.261618,-0.017729,0.015273,4
0.202258,0.018426,0.014925,5
0.147781,0.009998,0.007023,6
0.132007,0.012282,-0.005811,7
0.122386,0.003567,-0.022493,1
0.087377,0.005576,-0.018554,3
0.257874,-0.025659,0.003427,4
0.204625,0.004228,-0.008597,5
0.147781,0.037617,0.027406,6
0.134461,0.005394,0.171935,7
0.107154,0.042674,0.025658,1
0.075503,-0.007557,0.029898,3
0.261618,-0.012448,-0.001309,4
0.202258,0.012337,0.009055,5
0.141044,0.001709,-0.003153,6
0.132007,0.005394,0.073158,7
0.084281,0.003567,-0.034521,1
0.075503,0.010842,-0.005096,3
0.261618,-0.001886,0.003427,4
0.204625,0.002194,-0.000747,5
0.151128,0.012767,0.007023,6
0.134461,0.005394,0.13245,7
0.114745,0.042674,-0.034521,1
0.07947,-0.004923,0.002982,3
0.265388,-0.025659,-0.003684,4
0.199874,0.006248,0.007089,5
0.147781,0.012767,0.022302,6
0.139353,0.000807,0.053481,7
0.14526,0.003567,0.019625,1
0.063629,0.039723,0.008362,3
0.265388,0.006045,0.001051,4
0.204625,0.020447,0.003171,5
0.144413,-0.009332,0.012127,6
0.134461,0.003093,0.053481,7
0.137619,-0.013795,-0.010465,1
0.07947,0.016092,0.002982,3
0.276671,-0.012448,-0.015531,4
0.199874,0.00016,0.001205,5
0.144413,-0.012083,-0.033678,6
0.139353,-0.003795,0.013866,7
0.137619,0.033964,0.025658,1
0.083411,0.010842,-0.007795,3
0.265388,0.008694,-0.015531,4
0.21176,0.014371,0.011007,5
0.151128,-0.020373,-0.018432,6
0.136915,0.000807,0.013866,7
0.114745,0.007922,0.01363,1
0.083411,0.013459,-0.010476,3
0.272902,0.006045,-0.00842,4
0.199874,0.020447,-0.012515,5
0.151128,-0.001043,-0.028607,6
0.136915,-0.012969,0.13245,7
0.122386,0.016603,0.031653,1
0.071536,0.008209,0.008362,3
0.269132,0.027186,-0.003684,4
0.202258,0.002194,-0.002713,5
0.144413,-0.001043,-0.003153,6
0.139353,0.000807,-0.005811,7
0.130028,0.020957,0.001602,1
0.071536,0.008209,0.000283,3
0.269132,0.016624,-0.00842,4
0.207009,-0.003895,-0.008597,5
0.154496,-0.020373,0.001952,6
0.12957,-0.008382,-0.005811,7
0.122386,-0.005114,0.01363,1
0.07947,0.005576,-0.015855,3
0.269132,-0.007167,0.005786,4
0.202258,-0.009984,0.005124,5
0.151128,-0.003812,0.012127,6
0.132007,0.005394,-0.065103,7
0.107154,0.025283,0.01363,1
0.071536,0.010842,-0.023934,3
0.28793,-0.007167,0.010522,4
0.204625,-0.012005,-0.006631,5
0.144413,0.004478,-0.008223,6
0.134461,0.003093,0.092966,7
0.099513,0.033964,0.025658,1
0.075503,-0.007557,-0.005096,3
0.28793,0.000764,0.022368,4
0.202258,-0.020114,-0.008597,5
0.157843,-0.001043,-0.033678,6
0.139353,0.021456,-0.065103,7
0.114745,0.038319,-0.016459,1
0.075503,-0.015422,-0.015855,3
0.272902,-0.020378,0.008162,4
0.207009,0.002194,-0.000747,5
0.147781,0.021057,0.001952,6
0.139353,0.00768,-0.065103,7
0.122386,0.029638,0.007597,1
0.083411,0.000326,-0.007795,3
0.280416,-0.017729,0.001051,4
0.199874,0.014371,0.001205,5
0.144413,-0.003812,-0.023503,6
0.139353,0.014568,-0.124395,7
0.122386,-0.000759,-0.010465,1
0.083411,0.013459,-0.013174,3
0.261618,0.013975,-0.003684,4
0.199874,0.022481,-0.008597,5
0.144413,-0.012083,-0.008223,6
0.144245,-0.019857,-0.08491,7
0.114745,-0.022476,0.031653,1
0.075503,0.00296,0.000283,3
0.269132,0.006045,0.017633,4
0.209392,0.006248,-0.004678,5
0.137698,0.007247,-0.018432,6
0.139353,0.005394,0.013866,7
0.091922,-0.00944,0.04372,1
0.087377,-0.007557,-0.007795,3
0.280416,0.011326,0.008162,4
0.204625,0.010303,-0.000747,5
0.144413,-0.003812,-0.018432,6
0.139353,0.003093,-0.025618,7
0.122386,-0.052873,0.037686,1
0.067596,-0.010173,-0.005096,3
0.265388,-0.001886,0.010522,4
0.197507,-0.003895,-0.010549,5
0.144413,-0.012083,-0.038782,6
0.127116,-0.001494,-0.045296,7
0.122386,-0.013795,-0.028487,1
0.067596,0.010842,0.000283,3
0.272902,0.003413,-0.00606,4
0.209392,-0.00795,0.007089,5
0.141044,-0.001043,-0.038782,6
0.141807,-0.001494,-0.065103,7
0.107154,0.007922,0.031653,1
0.067596,0.010842,0.008362,3
0.276671,-0.007167,0.005786,4
0.199874,0.002194,0.007089,5
0.151128,-0.023142,0.001952,6
0.132007,-0.006081,0.053481,7
0.114745,-0.000759,0.001602,1
0.059688,-0.007557,0.019121,3
0.269132,0.000764,0.008162,4
0.207009,0.004228,-0.012515,5
0.144413,0.012767,0.001952,6
0.136915,-0.003795,0.053481,7
0.122386,0.016603,0.037686,1
0.075503,-0.015422,0.011042,3
0.272902,0.013975,0.003427,4
0.202258,-0.005916,0.011007,5
0.144413,-0.003812,-0.023503,6
0.139353,-0.001494,-0.045296,7
0.122386,-0.00944,0.04372,1
0.067596,0.005576,0.027199,3
0.269132,-0.02301,0.010522,4
0.199874,-0.00795,0.003171,5
0.151128,0.001709,0.001952,6
0.139353,0.021456,-0.025618,7
0.122386,0.007922,0.001602,1
0.091318,0.000326,0.002982,3
0.276671,-0.007167,0.017633,4
0.207009,0.00016,0.009055,5
0.141044,0.007247,-0.008223,6
0.132007,0.009981,0.013866,7
0.099513,-0.013795,-0.004431,1
