@relation mnl1 
@attribute hammerforce numeric
@attribute sensor1 numeric
@attribute sensor2 numeric
@attribute class {'1','3','4','5','6','7'}
@data
0.065649,0.003383,-0.005587,1
-0.025464,-0.009336,-0.005262,3
0.107079,0.006402,0.002155,4
0.214143,0.00016,-0.014467,5
0.105426,-0.009801,-0.002022,6
0.337319,0.011907,0.095109,7
0.061749,-0.005912,-0.010503,1
-0.025464,-0.027082,-0.003022,3
0.107079,0.004603,-0.001143,4
0.214143,0.006248,0.001205,5
0.109331,-0.023561,0.002267,6
0.341904,0.000407,0.003561,7
0.059793,-0.009008,-0.009278,1
-0.022414,-0.021175,-0.000781,3
0.107079,0.011824,-0.002797,4
0.209392,0.004228,0.003171,5
0.109331,-0.009801,0.032212,6
0.339619,0.00731,-0.026955,7
0.063693,-0.009008,-0.000672,1
-0.025464,-0.007372,-0.011954,3
0.107079,0.006402,-0.004451,4
0.209392,-0.001861,-0.008597,5
0.105426,-0.005872,0.027922,6
0.341904,-0.00419,-0.088087,7
0.063693,0.001831,0.003019,1
-0.028514,-0.003417,-0.007488,3
0.104687,0.004603,-0.002797,4
0.21176,-0.012005,-0.002713,5
0.097642,0.017717,0.006529,6
0.344204,-0.008787,0.003561,7
0.067605,-0.012103,0.004252,1
-0.022414,-0.003417,-0.016435,3
0.10228,0.011824,0.007096,4
0.216511,-0.014039,0.007089,5
0.109331,0.009859,0.002267,6
0.341904,-0.024885,-0.026955,7
0.071504,-0.002817,-0.003129,1
-0.025464,0.008409,-0.009728,3
0.114284,0.017246,0.007096,4
0.214143,-0.020114,0.001205,5
0.105426,0.009859,-0.002022,6
0.339619,-0.01569,-0.011747,7
0.063693,-0.009008,-0.000672,1
-0.028514,0.010386,0.003685,3
0.114284,0.013635,-0.001143,4
0.207009,-0.014039,0.003171,5
0.103487,0.005929,0.010819,6
0.339619,0.000407,0.018769,7
0.063693,-0.01056,0.003019,1
-0.031544,0.006444,-0.003022,3
0.107079,0.015435,0.000501,4
0.207009,0.00016,0.001205,5
0.109331,-0.00783,-0.023416,6
0.339619,-0.027191,-0.011747,7
0.065649,-0.012103,0.007934,1
-0.031544,0.006444,0.010377,3
0.104687,0.013635,0.00875,4
0.209392,-0.012005,0.003171,5
0.103487,-0.009801,0.019371,6
0.337319,-0.008787,-0.042263,7
0.065649,-0.013656,-0.009278,1
-0.031544,0.020248,0.003685,3
0.104687,0.010025,0.002155,4
0.202258,0.012337,-0.002713,5
0.103487,-0.015702,0.027922,6
0.341904,-0.00419,0.003561,7
0.065649,-0.013656,0.00671,1
-0.022414,0.020248,-0.003022,3
0.10228,-0.00624,0.002155,4
0.202258,-0.012005,0.003171,5
0.105426,-0.001942,0.027922,6
0.335034,0.009616,0.034077,7
0.065649,0.000278,-0.004354,1
-0.022414,0.006444,0.003685,3
0.109486,-0.01165,0.007096,4
0.207009,-0.005916,-0.000747,5
0.107379,-0.009801,0.032212,6
0.337319,-0.006481,0.064593,7
0.065649,0.01887,0.001786,1
-0.031544,-0.003417,0.001445,3
0.109486,-0.01165,-0.009392,4
0.209392,0.012337,0.007089,5
0.111271,-0.001942,0.002267,6
0.339619,-0.00419,0.049385,7
0.065649,0.003383,-0.000672,1
-0.034594,0.00249,-0.005262,3
0.099873,-0.01165,-0.002797,4
0.209392,-0.001861,0.005124,5
0.111271,0.015759,0.010819,6
0.339619,0.009616,0.049385,7
0.071504,0.000278,0.005477,1
-0.025464,0.01827,0.003685,3
0.107079,0.002792,-0.004451,4
0.202258,0.010303,0.005124,5
0.111271,-0.001942,-0.014864,6
0.339619,-0.00419,-0.026955,7
0.059793,-0.001264,-0.001897,1
-0.025464,0.006444,0.005911,3
0.119082,0.000993,0.005453,4
0.209392,0.004228,0.016891,5
0.113223,-0.011772,0.015109,6
0.339619,-0.01569,-0.088087,7
0.063693,0.001831,-0.004354,1
-0.028514,0.00249,0.012617,3
0.107079,-0.009851,-0.004451,4
0.204625,-0.001861,0.011007,5
0.111271,-0.009801,0.019371,6
0.337319,-0.006481,0.018769,7
0.065649,-0.018303,0.000561,1
-0.028514,0.014328,-0.005262,3
0.10228,0.019057,-0.009392,4
0.202258,-0.003895,0.003171,5
0.107379,0.007887,-0.006284,6
0.341904,-0.01569,-0.118603,7
0.065649,0.003383,0.003019,1
-0.028514,0.01827,-0.018661,3
0.111877,-0.000819,0.003798,4
0.202258,-0.001861,0.009055,5
0.111271,-0.011772,0.010819,6
0.337319,-0.011093,-0.072779,7
0.061749,-0.002817,-0.001897,1
-0.028514,-0.001452,-0.005262,3
0.109486,0.006402,0.002155,4
0.204625,0.00016,0.016891,5
0.109331,-0.00783,-0.014864,6
0.339619,-0.006481,-0.011747,7
0.067605,0.000278,-0.000672,1
-0.031544,0.004467,0.008151,3
0.104687,0.015435,0.002155,4
0.209392,-0.016059,-0.000747,5
0.109331,0.003958,-0.027677,6
0.344204,-0.001884,-0.118603,7
0.067605,-0.007455,0.000561,1
-0.040673,0.004467,0.008151,3
0.111877,-0.000819,0.002155,4
0.214143,-0.014039,-0.014467,5
0.101534,0.000029,0.002267,6
0.341904,-0.013384,0.064593,7
0.065649,0.000278,-0.001897,1
-0.028514,-0.001452,0.003685,3
0.104687,-0.000819,0.005453,4
0.207009,0.004228,0.014925,5
0.109331,0.013788,0.015109,6
0.341904,-0.01569,0.018769,7
0.071504,-0.009008,-0.011736,1
-0.028514,-0.001452,0.017084,3
0.111877,-0.00804,0.005453,4
0.209392,0.006248,0.003171,5
0.109331,0.005929,0.010819,6
0.330433,-0.013384,0.079901,7
0.061749,-0.002817,-0.003129,1
-0.025464,-0.015256,-0.009728,3
0.107079,-0.00263,0.007096,4
0.202258,-0.001861,-0.002713,5
0.105426,-0.013731,0.027922,6
0.337319,-0.008787,-0.011747,7
0.063693,0.004926,0.001786,1
-0.025464,-0.017233,0.008151,3
0.109486,0.000993,0.002155,4
0.209392,0.008282,-0.002713,5
0.115163,-0.009801,0.019371,6
0.337319,-0.008787,0.003561,7
0.067605,0.004926,-0.004354,1
-0.031544,-0.003417,-0.003022,3
0.099873,0.004603,0.007096,4
0.209392,0.004228,0.005124,5
0.111271,0.005929,0.002267,6
0.328148,0.002713,0.110417,7
0.067605,-0.012103,-0.003129,1
-0.028514,0.016293,-0.009728,3
0.107079,-0.00263,0.020297,4
0.209392,0.004228,0.001205,5
0.107379,0.009859,-0.014864,6
0.332733,-0.00419,-0.057571,7
0.065649,0.000278,-0.004354,1
-0.037623,0.012351,-0.018661,3
0.104687,-0.00804,0.003798,4
0.209392,0.004228,-0.006631,5
0.111271,-0.00783,0.010819,6
0.337319,0.002713,-0.011747,7
0.071504,-0.001264,0.001786,1
-0.031544,0.010386,-0.009728,3
0.111877,-0.000819,-0.001143,4
0.209392,0.006248,0.007089,5
0.111271,-0.01766,0.032212,6
0.339619,0.023407,0.003561,7
0.063693,-0.007455,0.000561,1
-0.028514,-0.019198,-0.009728,3
0.107079,-0.01165,0.010404,4
0.202258,0.004228,-0.002713,5
0.103487,0.001987,-0.002022,6
0.335034,-0.00419,-0.072779,7
0.069548,-0.005912,-0.005587,1
-0.025464,-0.017233,-0.005262,3
0.104687,-0.01165,0.003798,4
0.202258,-0.022148,-0.008597,5
0.111271,-0.009801,-0.010574,6
0.339619,0.005019,0.034077,7
0.063693,-0.012103,-0.000672,1
-0.031544,-0.005394,-0.011954,3
0.10228,0.013635,0.00875,4
0.204625,-0.012005,-0.014467,5
0.103487,-0.001942,0.015109,6
0.337319,-0.00419,0.049385,7
0.067605,-0.002817,-0.014193,1
-0.022414,-0.003417,-0.000781,3
0.10228,0.008214,0.015345,4
0.209392,-0.003895,-0.004678,5
0.113223,-0.003901,-0.006284,6
0.335034,0.014213,0.049385,7
0.075403,-0.012103,0.000561,1
-0.028514,0.004467,-0.011954,3
0.109486,0.008214,-0.001143,4
0.202258,0.00016,-0.002713,5
0.111271,-0.003901,-0.006284,6
0.335034,-0.011093,-0.042263,7
0.063693,0.003383,0.000561,1
-0.034594,-0.011314,0.001445,3
0.109486,-0.009851,0.010404,4
0.204625,-0.003895,-0.004678,5
0.111271,0.003958,0.010819,6
0.332733,0.005019,-0.011747,7
0.071504,0.003383,-0.000672,1
-0.037623,0.000525,0.008151,3
0.109486,0.004603,0.00875,4
0.204625,-0.001861,0.001205,5
